SIMULATE WITH PROPERTIES:
---------------------------
BAMCP with ENV: N-armed Bernoulli Bandits
Miscalibration with Options: ['Sets a cost to sampling a bandit, with known bandit having a value of 0.', 'Unfavorable prior for non-zero bandit(s)']
BAMCP Settings: Discount: 0.950000, Epsilon: 0.100000, Num_Sims: 1500, Num_Steps: 50, Num_Trials: 5
BAMCP Priors: (Alpha=[[ 0.  0.]], Beta=[[ 0.  0.]])
True bandit probabilities: [ 0.5  1. ]
COST: 0.750000
---------------------------
Steps Taken: 10 | Time Diff: 1331.65
Steps Taken: 11 | Time Diff: 1336.75
Steps Taken: 12 | Time Diff: 1341.85
Steps Taken: 13 | Time Diff: 1346.96
Steps Taken: 14 | Time Diff: 1352.06
Steps Taken: 15 | Time Diff: 1357.17
Steps Taken: 16 | Time Diff: 1362.28
Steps Taken: 17 | Time Diff: 1367.38
Steps Taken: 18 | Time Diff: 1372.47
Steps Taken: 19 | Time Diff: 1377.57
Steps Taken: 20 | Time Diff: 1382.67
Steps Taken: 21 | Time Diff: 1387.78
Steps Taken: 22 | Time Diff: 1392.88
Steps Taken: 23 | Time Diff: 1397.98
Steps Taken: 24 | Time Diff: 1403.09
Steps Taken: 25 | Time Diff: 1408.18
Steps Taken: 26 | Time Diff: 1413.28
Steps Taken: 27 | Time Diff: 1418.39
Steps Taken: 28 | Time Diff: 1423.49
Steps Taken: 29 | Time Diff: 1428.58
Steps Taken: 30 | Time Diff: 1433.68
Steps Taken: 31 | Time Diff: 1438.77
Steps Taken: 32 | Time Diff: 1443.87
Steps Taken: 33 | Time Diff: 1448.97
Steps Taken: 34 | Time Diff: 1454.08
Steps Taken: 35 | Time Diff: 1459.17
Steps Taken: 36 | Time Diff: 1464.27
Steps Taken: 37 | Time Diff: 1469.38
Steps Taken: 38 | Time Diff: 1474.47
Steps Taken: 39 | Time Diff: 1479.59
Steps Taken: 40 | Time Diff: 1484.69
Steps Taken: 41 | Time Diff: 1489.79
Steps Taken: 42 | Time Diff: 1494.89
Steps Taken: 43 | Time Diff: 1499.99
Steps Taken: 44 | Time Diff: 1505.09
Steps Taken: 45 | Time Diff: 1510.2
Steps Taken: 46 | Time Diff: 1515.3
Steps Taken: 47 | Time Diff: 1520.41
Steps Taken: 48 | Time Diff: 1525.51
Steps Taken: 49 | Time Diff: 1530.61
Steps Taken: 50 | Time Diff: 1535.72
Steps Taken: 1 | Time Diff: 1540.82
Steps Taken: 2 | Time Diff: 1545.93
Steps Taken: 3 | Time Diff: 1551.02
Steps Taken: 4 | Time Diff: 1556.13
Steps Taken: 5 | Time Diff: 1561.23
Steps Taken: 6 | Time Diff: 1566.33
Steps Taken: 7 | Time Diff: 1571.43
Steps Taken: 8 | Time Diff: 1576.53
Steps Taken: 9 | Time Diff: 1581.63
Steps Taken: 10 | Time Diff: 1586.73
Steps Taken: 11 | Time Diff: 1591.84
Steps Taken: 12 | Time Diff: 1596.95
Steps Taken: 13 | Time Diff: 1602.04
Steps Taken: 14 | Time Diff: 1607.13
Steps Taken: 15 | Time Diff: 1612.24
Steps Taken: 16 | Time Diff: 1617.34
Steps Taken: 17 | Time Diff: 1622.44
Steps Taken: 18 | Time Diff: 1627.53
Steps Taken: 19 | Time Diff: 1632.63
Steps Taken: 20 | Time Diff: 1637.72
Steps Taken: 21 | Time Diff: 1642.81
Steps Taken: 22 | Time Diff: 1647.91
Steps Taken: 23 | Time Diff: 1653.01
Steps Taken: 24 | Time Diff: 1658.12
Steps Taken: 25 | Time Diff: 1663.21
Steps Taken: 26 | Time Diff: 1668.31
Steps Taken: 27 | Time Diff: 1673.41
Steps Taken: 28 | Time Diff: 1678.52
Steps Taken: 29 | Time Diff: 1683.63
Steps Taken: 30 | Time Diff: 1688.72
Steps Taken: 31 | Time Diff: 1693.82
Steps Taken: 32 | Time Diff: 1698.93
Steps Taken: 33 | Time Diff: 1704.03
Steps Taken: 34 | Time Diff: 1709.13
Steps Taken: 35 | Time Diff: 1714.25
Steps Taken: 36 | Time Diff: 1719.36
Steps Taken: 37 | Time Diff: 1724.46
Steps Taken: 38 | Time Diff: 1729.57
Steps Taken: 39 | Time Diff: 1734.67
Steps Taken: 40 | Time Diff: 1739.77
Steps Taken: 41 | Time Diff: 1744.87
Steps Taken: 42 | Time Diff: 1749.97
Steps Taken: 43 | Time Diff: 1755.07
Steps Taken: 44 | Time Diff: 1760.17
Steps Taken: 45 | Time Diff: 1765.27
Steps Taken: 46 | Time Diff: 1771.03
Steps Taken: 47 | Time Diff: 1777.81
Steps Taken: 48 | Time Diff: 1783.93
Steps Taken: 49 | Time Diff: 1789.02
Steps Taken: 50 | Time Diff: 1794.12
Steps Taken: 1 | Time Diff: 1799.22
Steps Taken: 2 | Time Diff: 1804.31
Steps Taken: 3 | Time Diff: 1809.42
Steps Taken: 4 | Time Diff: 1814.52
Steps Taken: 5 | Time Diff: 1819.63
Steps Taken: 6 | Time Diff: 1824.73
Steps Taken: 7 | Time Diff: 1829.85
Steps Taken: 8 | Time Diff: 1834.95
Steps Taken: 9 | Time Diff: 1840.05
Steps Taken: 10 | Time Diff: 1845.16
Steps Taken: 11 | Time Diff: 1850.26
Steps Taken: 12 | Time Diff: 1855.36
Steps Taken: 13 | Time Diff: 1860.47
Steps Taken: 14 | Time Diff: 1865.58
Steps Taken: 15 | Time Diff: 1870.68
Steps Taken: 16 | Time Diff: 1875.79
Steps Taken: 17 | Time Diff: 1880.89
Steps Taken: 18 | Time Diff: 1885.99
Steps Taken: 19 | Time Diff: 1891.1
Steps Taken: 20 | Time Diff: 1896.2
Steps Taken: 21 | Time Diff: 1901.3
Steps Taken: 22 | Time Diff: 1906.4
Steps Taken: 23 | Time Diff: 1911.5
Steps Taken: 24 | Time Diff: 1916.59
Steps Taken: 25 | Time Diff: 1921.69
Steps Taken: 26 | Time Diff: 1926.79
Steps Taken: 27 | Time Diff: 1931.89
Steps Taken: 28 | Time Diff: 1936.99
Steps Taken: 29 | Time Diff: 1942.09
Steps Taken: 30 | Time Diff: 1947.2
Steps Taken: 31 | Time Diff: 1952.31
